index	table_id	class	subclass	keyword	exclude_word
0	4001	血管弹性	轻度减弱	轻度减弱	
1	4001	血管弹性	中度减弱	中度减弱	
2	4001	血管弹性	重度减弱	重度减弱	
3	4001	血管弹性	正常	正常,良好	
4	1001	心电图	正常心电图	正常	
5	1001	心电图	窦性心动过缓	心动过缓	
6	1001	心电图	窦性心动过速	心动过速	
7	1001	心电图	其它心电图		正常
8	0409	病史	高血压史	高血压史	
9	0409	病史	脑梗塞史	脑梗塞史	
10	0409	病史	阑尾炎	阑尾炎	
11	0409	病史	血脂	血脂	
12	0409	病史	治疗中	治疗中	
13	0409	病史	未治疗	未治疗	
14	0409	病史	血糖偏高	血糖偏高	
15	0409	病史	心肌供血不足	心肌供血不足	
16	0409	病史	糖尿病史	糖尿病史	
17	0409	病史	未见异常	未见异常	
18	0409	病史	剖宫产	剖宫产	
19	0409	病史	术后	术后	
20	0409	病史	脂肪肝史	脂肪肝史	
21	2229		阳性	阳性	
22	2233		阳性	阳性	
23	2231		阳性	阳性	
24	2228		阳性	阳性	
25	100010		阳性	阳性	
26	799003		阳性	阳性	
27	3430		阳性	阳性	
28	769006		阳性	阳性	
29	E39003		阳性	阳性	
30	529001		阳性	阳性	
31	269041		阳性	阳性	
32	3868		阳性	阳性	
33	300036		阳性	阳性	
34	669017		阳性	阳性	
35	300005		阳性	阳性	
36	3429		阳性	阳性	
37	3485		阳性	阳性	
38	3195		阳性	阳性	
39	709039		阳性	阳性	
40	300004		阳性	阳性	
41	459187		阳性	阳性	
42	A49011		阳性	阳性	
43	269042		阳性	阳性	
44	30001		阳性	阳性	
45	E19002		阳性	阳性	
46	3196		阳性	阳性	
47	319240		阳性	阳性	
48	S39002		阳性	阳性	
49	529002		阳性	阳性	
50	459109		阳性	阳性	
51	2381		阳性	阳性	
52	T59007		阳性	阳性	
53	2230		阳性	阳性	
54	3191		阳性	阳性	
55	3190		阳性	阳性	
56	3194		阳性	阳性	
57	300088		阳性	阳性	
58	669028		阳性	阳性	
59	300025		阳性	阳性	
60	459247		阳性	阳性	
61	E39002		阳性	阳性	
62	669024		阳性	阳性	
63	4307		阳性	阳性	
64	319107		阳性	阳性	
65	2382		阳性	阳性	
66	3192		阳性	阳性	
67	179107		阳性	阳性	
68	979045		阳性	阳性	
69	979044		阳性	阳性	
70	3301		阳性	阳性	
71	2501		阳性	阳性	
72	3303		阳性	阳性	
73	A201		阳性	阳性	
74	1001		阳性	阳性	
75	409		阳性	阳性	
76	434		阳性	阳性	
77	3402		阳性	阳性	
78	2502		阳性	阳性	
79	435		阳性	阳性	
80	101		未见	未见	
81	118		未见	未见	
82	117		未见	未见	
83	430		未见	未见	
84	413		未见	未见	
85	949		未见	未见	
86	115		未见	未见	
87	947		未见	未见	
88	911		未见	未见	
89	901		未见	未见	
90	435		未见	未见	
91	426		未见	未见	
92	912		未见	未见	
93	420		未见	未见	
94	431		未见	未见	
95	405		未见	未见	
96	423		未见	未见	
97	407		未见	未见	
98	432		未见	未见	
99	A201		未见	未见	
100	929		未见	未见	
101	433		未见	未见	
102	406		未见	未见	
103	119		未见	未见	
104	707		未见	未见	
105	726		未见	未见	
106	1103		未见	未见	
107	706		未见	未见	
108	728		未见	未见	
109	429		未见	未见	
110	222		未见	未见	
111	123		未见	未见	
112	122		未见	未见	
113	731		未见	未见	
114	501		未见	未见	
115	537		未见	未见	
116	541		未见	未见	
117	1301		未见	未见	
118	1308		未见	未见	
119	1305		未见	未见	
120	403		未见	未见	
121	1315		未见	未见	
122	1302		未见	未见	
123	113		未见	未见	
124	1304		未见	未见	
125	705		未见	未见	
126	954		未见	未见	
127	1313		未见	未见	
128	207		未见	未见	
129	1303		未见	未见	
130	206		未见	未见	
131	2501		未见	未见	
132	1314		未见	未见	
133	216		未见	未见	
134	210		未见	未见	
135	208		未见	未见	
136	201		未见	未见	
137	427		未见	未见	
138	209		未见	未见	
139	422		未见	未见	
140	202		未见	未见	
141	217		未见	未见	
142	409		未见	未见	
143	215		未见	未见	
144	203		未见	未见	
145	440		未见	未见	
146	983		未见	未见	
147	1102		未见	未见	
148	982		未见	未见	
149	1316		未见	未见	
150	428		未见	未见	
151	981		未见	未见	
152	1329		未见	未见	
153	114		未见	未见	
154	225		未见	未见	
155	972		未见	未见	
156	1328		未见	未见	
157	709		未见	未见	
158	A301		未见	未见	
159	984		未见	未见	
160	985		未见	未见	
161	121		未见	未见	
162	1402		未见	未见	
163	732		未见	未见	
164	415		未见	未见	
165	A202		未见	未见	
166	414		未见	未见	
167	212		未见	未见	
168	539		未见	未见	
169	120		未见	未见	
170	116		未见	未见	
171	4001		未见	未见	
172	986		未见	未见	
173	1330		未见	未见	
174	102		未见	未见	
175	213		未见	未见	
176	443		未见	未见	
177	503		未见	未见	
178	425		未见	未见	
179	1331		未见	未见	
180	516		未见	未见	
181	1334		未见	未见	
182	1335		未见	未见	
183	220		未见	未见	
184	703		未见	未见	
185	A302		未见	未见	
186	218		未见	未见	
187	221		未见	未见	
188	219		未见	未见	
189	124		未见	未见	
190	424		未见	未见	
191	1002		未见	未见	
192	1336		未见	未见	
193	551		未见	未见	
194	990		未见	未见	
195	509		未见	未见	
196	214		未见	未见	
197	1333		未见	未见	
198	131		未见	未见	
199	715		未见	未见	
200	130		未见	未见	
201	546		未见	未见	
202	A101		未见	未见	
203	439		未见	未见	
204	438		未见	未见	
205	437		未见	未见	
206	2502		未见	未见	
207	1104		未见	未见	
208	227		未见	未见	
209	229		未见	未见	
210	3813		未见	未见	
211	3402		未见	未见	
212	735		未见	未见	
213	452		未见	未见	
214	451		未见	未见	
215	448		未见	未见	
216	3101		未见	未见	
217	3401		未见	未见	
218	228		未见	未见	
219	733		未见	未见	
220	B301		未见	未见	
221	450		未见	未见	
222	449		未见	未见	
223	447		未见	未见	
224	445		未见	未见	
225	444		未见	未见	
226	446		未见	未见	
227	8001		未见	未见	
228	1337		未见	未见	
229	545		未见	未见	
230	7701		未见	未见	
231	1332		未见	未见	
232	544		未见	未见	
233	230		未见	未见	
234	1105		未见	未见	
235	A102		未见	未见	
236	1703		未见	未见	
237	455		未见	未见	
238	453		未见	未见	
239	125		未见	未见	
240	1338		未见	未见	
241	1403		未见	未见	
242	226		未见	未见	
243	3301		未见	未见	
244	3702		未见	未见	
245	3701		未见	未见	
246	126		未见	未见	
247	104		未见	未见	
248	436		未见	未见	
249	434		未见	未见	
250	A601		未见	未见	
251	A410		未见	未见	
252	A407		未见	未见	
253	503		黄色	黄色	
254	539		黄色	黄色	
255	A101		黄色	黄色	
256	1308		黄色	黄色	
257	1301		黄色	黄色	
258	222		黄色	黄色	
259	217		黄色	黄色	
260	B401		黄色	黄色	
261	503		通畅	通畅	
262	A201		通畅	通畅	
263	101		通畅	通畅	
264	A301		通畅	通畅	
265	114		通畅	通畅	
266	A201		血管形态正常	血管形态正常	
267	1103		血管形态正常	血管形态正常	
268	102		脂肪	脂肪	
269	A705		脂肪	脂肪	
270	434		脂肪	脂肪	
271	409		脂肪	脂肪	
272	A202		脂肪	脂肪	
273	A201		脂肪	脂肪	
274	954		脂肪	脂肪	
275	975		脂肪	脂肪	
276	101		脂肪	脂肪	
277	113		脂肪	脂肪	
278	3101		脂肪	脂肪	
279	1703		脂肪	脂肪	
280	131		脂肪	脂肪	
281	A301		脂肪	脂肪	
282	102		子宫	子宫	
283	121		子宫	子宫	
284	539		子宫	子宫	
285	101		子宫	子宫	
286	516		子宫	子宫	
287	954		子宫	子宫	
288	978		子宫	子宫	
289	434		子宫	子宫	
290	409		子宫	子宫	
291	546		子宫	子宫	
292	118		子宫	子宫	
293	130		子宫	子宫	
294	987		子宫	子宫	
295	131		子宫	子宫	
296	123		子宫	子宫	
297	122		子宫	子宫	
298	545		子宫	子宫	
